2014-05-25 00:22:21,843 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -7, 10
2014-05-25 00:22:21,846 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -7, 9
2014-05-25 00:22:21,846 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -10
2014-05-25 00:22:21,851 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -7, 4
2014-05-25 00:22:21,851 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -9
2014-05-25 00:22:21,859 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -9
2014-05-25 00:22:21,877 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -8
2014-05-25 00:22:21,877 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -10
2014-05-25 00:22:21,877 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -7
2014-05-25 00:22:21,885 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -8
2014-05-25 00:22:21,886 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -6
2014-05-25 00:22:21,876 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -7, 10
2014-05-25 00:22:21,887 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -5
2014-05-25 00:22:21,895 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -5
2014-05-25 00:22:21,895 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -4
2014-05-25 00:22:21,873 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -7, 8
2014-05-25 00:22:21,901 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -3
2014-05-25 00:22:21,909 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -3
2014-05-25 00:22:21,910 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -2
2014-05-25 00:22:21,917 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -7
2014-05-25 00:22:21,918 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, -1
2014-05-25 00:22:21,928 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -1
2014-05-25 00:22:21,928 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, 0
2014-05-25 00:22:21,929 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -4
2014-05-25 00:22:21,929 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -6, 1
2014-05-25 00:22:21,939 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -6, -2
